=== Run information ===

Scheme:       weka.classifiers.functions.RBFNetwork -B 2 -S 1 -R 1.0E-8 -M -1 -W 0.1
Relation:     hw8-trainingData
Instances:    1561
Attributes:   3
              Intensity
              Symmetry
              Class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Radial basis function network
(Linear regression applied to K-means clusters as basis functions):


Linear Regression Model

Class =

      1.9794 * pCluster_0_0 +
     -1.9789 * pCluster_0_1 +
      2.9884

Time taken to build model: 0.04 seconds

=== Predictions on test set ===

inst#,actual,predicted,error
1,1,1.01,0.01
2,5,4.968,-0.032
3,5,4.968,-0.032
4,1,1.009,0.009
5,1,1.009,0.009
6,5,4.968,-0.032
7,1,4.855,3.855
8,5,4.967,-0.033
9,1,1.009,0.009
10,1,1.009,0.009
11,1,1.009,0.009
12,1,1.015,0.015
13,5,4.968,-0.032
14,5,4.968,-0.032
15,5,4.968,-0.032
16,1,1.009,0.009
17,5,4.962,-0.038
18,1,1.009,0.009
19,5,4.968,-0.032
20,1,1.009,0.009
21,1,1.009,0.009
22,1,1.009,0.009
23,1,1.009,0.009
24,1,1.009,0.009
25,1,1.009,0.009
26,5,4.968,-0.032
27,1,1.01,0.01
28,5,4.968,-0.032
29,1,1.009,0.009
30,1,1.009,0.009
31,1,1.009,0.009
32,1,4.966,3.966
33,1,1.009,0.009
34,5,4.968,-0.032
35,5,4.968,-0.032
36,5,4.968,-0.032
37,1,1.009,0.009
38,5,4.968,-0.032
39,5,4.968,-0.032
40,1,1.009,0.009
41,1,1.009,0.009
42,1,1.009,0.009
43,1,1.009,0.009
44,5,4.968,-0.032
45,5,4.968,-0.032
46,1,1.009,0.009
47,1,1.009,0.009
48,1,1.009,0.009
49,1,1.009,0.009
50,5,4.968,-0.032
51,1,1.009,0.009
52,5,4.968,-0.032
53,1,1.009,0.009
54,1,1.009,0.009
55,1,1.009,0.009
56,1,1.009,0.009
57,5,4.968,-0.032
58,1,1.015,0.015
59,1,1.009,0.009
60,1,1.009,0.009
61,1,1.009,0.009
62,1,1.009,0.009
63,1,1.009,0.009
64,1,1.009,0.009
65,1,1.01,0.01
66,1,1.009,0.009
67,1,1.009,0.009
68,1,1.009,0.009
69,1,1.009,0.009
70,1,1.009,0.009
71,1,1.009,0.009
72,1,1.01,0.01
73,1,1.009,0.009
74,1,1.009,0.009
75,1,1.009,0.009
76,1,1.009,0.009
77,1,1.01,0.01
78,1,1.009,0.009
79,1,1.009,0.009
80,1,1.009,0.009
81,1,1.025,0.025
82,1,3.613,2.613
83,1,1.009,0.009
84,1,1.009,0.009
85,1,1.021,0.021
86,5,4.968,-0.032
87,1,1.009,0.009
88,5,4.968,-0.032
89,1,1.009,0.009
90,1,1.009,0.009
91,5,4.968,-0.032
92,5,4.968,-0.032
93,1,1.009,0.009
94,5,4.967,-0.033
95,1,1.009,0.009
96,1,1.009,0.009
97,1,1.009,0.009
98,1,1.009,0.009
99,5,4.968,-0.032
100,1,1.009,0.009
101,1,1.009,0.009
102,1,1.009,0.009
103,1,1.009,0.009
104,5,4.968,-0.032
105,1,1.009,0.009
106,5,4.968,-0.032
107,1,1.009,0.009
108,1,1.009,0.009
109,1,1.009,0.009
110,1,1.009,0.009
111,1,1.01,0.01
112,5,4.968,-0.032
113,5,4.968,-0.032
114,5,4.968,-0.032
115,1,1.009,0.009
116,1,1.009,0.009
117,5,4.968,-0.032
118,5,4.968,-0.032
119,1,1.009,0.009
120,1,1.009,0.009
121,1,1.009,0.009
122,5,4.968,-0.032
123,1,1.009,0.009
124,5,4.968,-0.032
125,1,1.009,0.009
126,5,4.968,-0.032
127,1,1.009,0.009
128,5,4.968,-0.032
129,1,1.016,0.016
130,1,1.009,0.009
131,1,1.009,0.009
132,1,1.009,0.009
133,5,4.968,-0.032
134,1,1.009,0.009
135,1,1.009,0.009
136,1,3.126,2.126
137,1,1.009,0.009
138,1,1.009,0.009
139,1,1.009,0.009
140,1,1.009,0.009
141,5,4.968,-0.032
142,1,1.009,0.009
143,1,1.009,0.009
144,1,1.009,0.009
145,1,1.183,0.183
146,1,1.009,0.009
147,1,1.009,0.009
148,5,4.966,-0.034
149,5,4.95,-0.05
150,5,4.968,-0.032
151,5,4.968,-0.032
152,5,4.968,-0.032
153,1,1.009,0.009
154,1,1.009,0.009
155,5,4.968,-0.032
156,5,4.968,-0.032
157,1,1.009,0.009
158,1,1.01,0.01
159,1,1.009,0.009
160,1,1.009,0.009
161,1,1.009,0.009
162,5,4.968,-0.032
163,5,4.968,-0.032
164,1,1.009,0.009
165,1,1.009,0.009
166,1,1.009,0.009
167,5,4.968,-0.032
168,5,4.968,-0.032
169,5,4.968,-0.032
170,1,1.651,0.651
171,1,1.009,0.009
172,1,1.009,0.009
173,5,4.968,-0.032
174,5,4.968,-0.032
175,5,4.968,-0.032
176,1,1.009,0.009
177,1,1.017,0.017
178,1,1.009,0.009
179,1,1.009,0.009
180,5,4.968,-0.032
181,5,4.968,-0.032
182,5,4.968,-0.032
183,5,4.968,-0.032
184,5,4.968,-0.032
185,5,4.968,-0.032
186,1,1.009,0.009
187,5,4.968,-0.032
188,5,4.968,-0.032
189,5,4.968,-0.032
190,5,4.968,-0.032
191,5,4.968,-0.032
192,5,4.968,-0.032
193,5,4.968,-0.032
194,1,1.009,0.009
195,1,1.009,0.009
196,1,1.009,0.009
197,1,1.009,0.009
198,1,1.015,0.015
199,1,1.009,0.009
200,5,4.968,-0.032
201,5,4.968,-0.032
202,5,4.968,-0.032
203,1,1.009,0.009
204,1,1.009,0.009
205,1,1.009,0.009
206,1,1.051,0.051
207,1,1.009,0.009
208,1,1.009,0.009
209,1,1.009,0.009
210,1,1.009,0.009
211,5,4.968,-0.032
212,1,1.009,0.009
213,5,4.968,-0.032
214,5,4.968,-0.032
215,1,1.009,0.009
216,5,4.968,-0.032
217,1,1.009,0.009
218,1,1.009,0.009
219,5,4.968,-0.032
220,1,1.009,0.009
221,1,1.009,0.009
222,1,1.009,0.009
223,1,1.009,0.009
224,5,4.968,-0.032
225,1,1.009,0.009
226,1,1.009,0.009
227,1,1.009,0.009
228,5,4.968,-0.032
229,1,1.009,0.009
230,1,1.009,0.009
231,5,4.968,-0.032
232,5,4.968,-0.032
233,1,1.099,0.099
234,5,4.968,-0.032
235,5,4.968,-0.032
236,1,1.009,0.009
237,5,4.968,-0.032
238,1,1.552,0.552
239,1,4.968,3.968
240,1,1.009,0.009
241,1,1.009,0.009
242,5,4.968,-0.032
243,1,1.009,0.009
244,1,1.009,0.009
245,5,4.968,-0.032
246,5,4.968,-0.032
247,5,4.968,-0.032
248,5,4.968,-0.032
249,1,1.009,0.009
250,5,4.968,-0.032
251,5,4.968,-0.032
252,5,4.968,-0.032
253,5,4.968,-0.032
254,5,4.968,-0.032
255,1,1.009,0.009
256,1,1.009,0.009
257,1,1.01,0.01
258,1,1.009,0.009
259,1,1.009,0.009
260,5,4.968,-0.032
261,5,4.968,-0.032
262,1,1.009,0.009
263,5,4.968,-0.032
264,5,4.968,-0.032
265,5,4.968,-0.032
266,1,1.009,0.009
267,1,1.009,0.009
268,1,1.009,0.009
269,1,1.009,0.009
270,1,1.009,0.009
271,1,1.01,0.01
272,1,1.009,0.009
273,1,1.009,0.009
274,1,1.009,0.009
275,1,1.009,0.009
276,5,4.968,-0.032
277,1,1.009,0.009
278,1,1.009,0.009
279,1,1.01,0.01
280,5,4.968,-0.032
281,1,1.009,0.009
282,1,1.009,0.009
283,1,1.009,0.009
284,1,1.009,0.009
285,1,1.009,0.009
286,5,4.968,-0.032
287,1,1.009,0.009
288,1,1.009,0.009
289,1,1.009,0.009
290,1,1.009,0.009
291,1,1.009,0.009
292,1,1.009,0.009
293,1,1.009,0.009
294,1,1.009,0.009
295,5,4.968,-0.032
296,1,1.009,0.009
297,5,4.968,-0.032
298,5,4.968,-0.032
299,5,4.968,-0.032
300,5,4.968,-0.032
301,5,4.968,-0.032
302,1,1.009,0.009
303,1,1.009,0.009
304,1,1.009,0.009
305,1,1.009,0.009
306,1,4.968,3.968
307,1,1.009,0.009
308,1,1.009,0.009
309,1,1.009,0.009
310,1,1.009,0.009
311,5,4.968,-0.032
312,1,1.009,0.009
313,1,1.009,0.009
314,5,4.968,-0.032
315,1,1.009,0.009
316,5,4.968,-0.032
317,1,1.009,0.009
318,1,1.009,0.009
319,5,4.968,-0.032
320,5,4.968,-0.032
321,5,4.968,-0.032
322,1,1.009,0.009
323,5,4.968,-0.032
324,5,4.968,-0.032
325,1,1.009,0.009
326,5,4.968,-0.032
327,5,4.968,-0.032
328,5,4.968,-0.032
329,5,4.968,-0.032
330,5,4.968,-0.032
331,1,1.009,0.009
332,1,1.01,0.01
333,5,4.968,-0.032
334,5,4.968,-0.032
335,1,1.009,0.009
336,1,1.013,0.013
337,1,1.009,0.009
338,1,1.009,0.009
339,1,1.009,0.009
340,1,1.009,0.009
341,1,1.009,0.009
342,1,1.009,0.009
343,5,4.968,-0.032
344,5,4.968,-0.032
345,1,1.009,0.009
346,1,1.009,0.009
347,1,1.009,0.009
348,1,1.009,0.009
349,1,1.009,0.009
350,1,1.009,0.009
351,1,1.021,0.021
352,5,4.968,-0.032
353,5,4.968,-0.032
354,1,1.009,0.009
355,1,1.009,0.009
356,5,4.968,-0.032
357,5,4.968,-0.032
358,1,1.009,0.009
359,1,1.009,0.009
360,1,4.968,3.968
361,1,4.968,3.968
362,1,4.968,3.968
363,5,4.968,-0.032
364,1,1.009,0.009
365,1,1.009,0.009
366,1,1.009,0.009
367,5,4.968,-0.032
368,1,1.009,0.009
369,1,1.009,0.009
370,1,1.009,0.009
371,1,1.009,0.009
372,1,1.009,0.009
373,1,1.009,0.009
374,5,4.968,-0.032
375,1,1.009,0.009
376,5,4.968,-0.032
377,5,4.968,-0.032
378,1,1.009,0.009
379,1,1.01,0.01
380,5,4.968,-0.032
381,5,4.968,-0.032
382,1,4.968,3.968
383,1,1.009,0.009
384,5,4.968,-0.032
385,1,1.009,0.009
386,1,1.009,0.009
387,1,1.009,0.009
388,5,4.968,-0.032
389,1,1.009,0.009
390,5,4.968,-0.032
391,1,1.009,0.009
392,1,1.009,0.009
393,5,4.968,-0.032
394,5,4.968,-0.032
395,1,1.009,0.009
396,5,4.968,-0.032
397,5,4.968,-0.032
398,1,1.009,0.009
399,5,4.968,-0.032
400,5,4.968,-0.032
401,1,1.009,0.009
402,5,4.968,-0.032
403,5,4.968,-0.032
404,1,1.009,0.009
405,1,1.009,0.009
406,5,4.418,-0.582
407,1,1.009,0.009
408,5,4.968,-0.032
409,1,1.01,0.01
410,5,4.968,-0.032
